model,cutoff,TP,FN,TN,FP,sensitivity,specificity,PPV,NPV
"Model 1 (full, 8 pts)",≥3,32,4,46,132,88.9 (74.7–95.6),25.8 (20.0–32.7),19.5 (14.2–26.2),92.0 (81.2–96.8)
"Model 1 (full, 8 pts)",≥4,28,8,98,80,77.8 (61.9–88.3),55.1 (47.7–62.2),25.9 (18.6–34.9),92.5 (85.8–96.1)
"Model 1 (full, 8 pts)",≥5,21,15,150,28,58.3 (42.2–72.9),84.3 (78.2–88.9),42.9 (30.0–56.7),90.9 (85.5–94.4)
"Model 1 (full, 8 pts)",≥6,5,31,172,6,13.9 (6.1–28.7),96.6 (92.8–98.4),45.5 (21.3–72.0),84.7 (79.1–89.0)
Model 3 (6 pts),≥3,28,8,94,84,77.8 (61.9–88.3),52.8 (45.5–60.0),25.0 (17.9–33.8),92.2 (85.3–96.0)
Model 3 (6 pts),≥4,21,15,153,25,58.3 (42.2–72.9),86.0 (80.1–90.3),45.7 (32.2–59.8),91.1 (85.8–94.5)
Model 3 (6 pts),≥5,5,31,171,7,13.9 (6.1–28.7),96.1 (92.1–98.1),41.7 (19.3–68.0),84.7 (79.0–89.0)
"Model 2 (simple, 5 pts)",≥2,34,2,39,139,94.4 (81.9–98.5),21.9 (16.5–28.5),19.7 (14.4–26.2),95.1 (83.9–98.7)
"Model 2 (simple, 5 pts)",≥3,25,11,104,74,69.4 (53.1–82.0),58.4 (51.1–65.4),25.3 (17.7–34.6),90.4 (83.7–94.6)
"Model 2 (simple, 5 pts)",≥4,11,25,159,19,30.6 (18.0–46.9),89.3 (83.9–93.1),36.7 (21.9–54.5),86.4 (80.7–90.6)
